person	Luis Enrique-led	24
organization	Barcelona	24
organization	Premier League	24
organization	Newcastle United	24
organization	Blackburn	24
organization	Everton	24
organization	Rovers	24
organization	Sheffield Wednesday	24
organization	Fulham	24
location	Castellón de la Plana	25
organization	Valencia	25
person	Montañés	25
person	Villarreal	25
organization	AD Alcorcón	25
person	Silva Moreira	26
soccer_player	Silva Moreira	26
person	Mohamed Salim Fares	27
soccer_player	Mohamed Salim Fares	27
person	Hellas Verona	27
person	Lorenzo Ferrari	28
soccer_player	Lorenzo Ferrari	28
person	Pierluigi Cappelluzzo	29
soccer_player	Pierluigi Cappelluzzo	29
person	Philippe Sylvain Senderos	30
soccer_player	Philippe Sylvain Senderos	30
location	Geneva	30
city	Geneva	30
organization	Servette	30
organization	Arsenal	30
person	A.C. Milan	30
person	Julián Senderos	30
person	Zorica Novaković	30
person	Philippe	30
person	Senderos	30
location	Servette	30
organization	West Bromwich Albion	30
organization	Middlesbrough	30
person	Arsène Wenger	30
organization	Milan	30
person	Paolo Maldini	30
person	Kakha Kaladze	30
person	Simone Aresti	31
soccer_player	Simone Aresti	31
person	Savona	31
person	Aresti	31
organization	Estadio Mestalla	32
location	Valencia	32
city	Valencia	32
location	Spain	32
country	Spain	32
organization	Valencia Club de Fútbol	32
location	Europe	32
organization	Levante UD	32
location	Primera División	32
location	Mestalla	32
person	Óscar Díaz González	33
soccer_player	Óscar Díaz González	33
location	Madrid	33
city	Madrid	33
organization	Girona FC	33
person	Francisco Ochoa	34
soccer_player	Francisco Ochoa	34
person	Alfreð Finnbogason	35
soccer_player	Alfreð Finnbogason	35
organization	Helsingborgs IF	35
organization	KSC Lokeren	35
location	Faroe Islands	35
person	Alfreð	35
organization	Celtic F.C.	35
organization	Rangers F.C.	35
organization	Reading F.C.	35
organization	Southampton	35
location	Swansea City F.C	35
location	Reykjavík	35
location	Edinburgh	35
city	Edinburgh	35
person	Hutchison Vale	35
location	Hibernian	35
person	Breiðablik	35
location	Breiðablik	35
organization	Blackpool	35
person	Josef Alexander Martínez	36
soccer_player	Josef Alexander Martínez	36
location	Caracas	36
city	Caracas	36
organization	BSC Young Boys	36
person	Martinez	36
organization	Estudiantes de Merida	36
organization	Deportivo Petare	36
organization	El Salvador	36
person	Antonino Ragusa	37
soccer_player	Antonino Ragusa	37
location	Messina	37
city	Messina	37
location	Sicily	37
person	Ragusa	37
location	Veneto	37
location	Treviso	37
location	Rimini	37
organization	Genoa	37
person	Thomas Bonotto	37
person	Marco Bincoletto	37
organization	Salernitana	37
location	Verona	37
city	Verona	37
person	Dino Fava	37
person	Fabinho	37
person	Francesco Acerbi	37
person	Lorenzo Remedi	38
soccer_player	Lorenzo Remedi	38
person	Remedi	38
person	Javier Ignacio Aquino Carmona	39
soccer_player	Javier Ignacio Aquino Carmona	39
location	San Francisco Ixhuatán	39
location	Oaxaca	39
city	Oaxaca	39
organization	Cruz Azul	39
location	Cruz Azul	39
location	Copa America	39
person	Cruz Azul	39
location	Lagunas	39
location	Cruz Azul Lagunas	39
location	Mexico City	39
organization	Cruz Azul Reserves	39
organization	Primera División	39
person	Aquino	39
person	Leonardo Spinazzola	40
soccer_player	Leonardo Spinazzola	40
organization	Vicenza	40
organization	Juventus	40
person	Hörður Björgvin Magnússon	41
soccer_player	Hörður Björgvin Magnússon	41
location	Reykjavik	41
city	Reykjavik	41
person	Hörður	41
person	Hlynur Atli Magnússon	41
location	Fram Reykjavik	41
location	Iceland	41
country	Iceland	41
person	Fram	41
location	Norway	41
country	Norway	41
organization	Sunderland	41
location	Lyon	41
city	Lyon	41
organization	AZ Alkmaar	41
person	Fabrizio Grillo	42
soccer_player	Fabrizio Grillo	42
location	Rome	42
city	Rome	42
person	Varese	42
person	Emiliano Daniel Velázquez Maldonado	43
soccer_player	Emiliano Daniel Velázquez Maldonado	43
person	Leandro Paredes	44
soccer_player	Leandro Paredes	44
person	Daniel 'Dani	45
soccer_player	Daniel 'Dani	45
person	Nieto Vela	45
soccer_player	Nieto Vela	45
location	Palma Nova	45
location	Calvià	45
location	Balearic Islands	45
person	Grega Sorcan	46
soccer_player	Grega Sorcan	46
person	Pedro Pablo Hernández	47
soccer_player	Pedro Pablo Hernández	47
location	Tucumán	47
organization	Argentinos Juniors	47
organization	D.C. United	47
person	Hernández	47
person	Franco Zuculini	48
soccer_player	Franco Zuculini	48
person	Zuculini	48
organization	Belgrano de Cordoba	48
organization	Racing Club	48
person	Hoffenheim	48
location	Zuculini	48
location	Venezuela	48
country	Venezuela	48
person	Diego Maradona	48
organization	Argentina National Team	48
location	Panama	48
country	Panama	48
person	Alejandro Pozuelo Melero	49
soccer_player	Alejandro Pozuelo Melero	49
organization	Real Betis	49
person	Ettore Gliozzi	50
soccer_player	Ettore Gliozzi	50
person	Samuele Massolo	51
soccer_player	Samuele Massolo	51
person	Raffaele Pucino	52
soccer_player	Raffaele Pucino	52
person	Adam Masina	53
soccer_player	Adam Masina	53
person	Matteo Malagoli	54
soccer_player	Matteo Malagoli	54
person	Masahudu Alhassan	55
soccer_player	Masahudu Alhassan	55
person	Alhassan	55
organization	Prampram Mighty Royals	55
location	Ghana	55
country	Ghana	55
location	Sierra Leone	55
location	Gabon	55
country	Gabon	55
person	Edoardo Tognazzi	56
soccer_player	Edoardo Tognazzi	56
person	Manuel Gullotta	57
soccer_player	Manuel Gullotta	57
person	Óscar Alexandre Whalley Guardado	58
soccer_player	Óscar Alexandre Whalley Guardado	58
person	Lorenzo Filippini	59
soccer_player	Lorenzo Filippini	59
location	Reggio Calabria	60
person	Oreste Granillo	60
organization	Unione Sportiva Reggio Calabria	60
organization	Società Calcistica Reggio	60
organization	Reggio Foot Ball Club	60
organization	Associazione Sportiva Reggina	60
organization	Società Sportiva La Dominante	60
person	Verona	60
location	Estadio	61
person	Estadio Villamarín	61
person	Spain Carlos	61
person	Prince Felipe de Borbon	61
organization	Betis	61
location	Baetis	61
location	Guadalquivir	61
person	Alfonso	61
organization	Sevilla Football Club	61
organization	Málaga Club de Fútbol	62
soccer_team	Málaga Club de Fútbol	62
location	Málaga	62
person	Atlético Malagueño	62
location	Segunda División	62
organization	Tercera División	62
organization	Málaga CF	62
organization	Segunda División B	62
location	Tercera División	62
person	Lorenzo Sanz	62
organization	Real Madrid	62
person	Fernando Sanz	62
person	Abdullah bin Nasser bin Abdullah Al Ahmed Al Thani	62
organization	Associazione Sportiva Roma	63
soccer_team	Associazione Sportiva Roma	63
organization	ASR	63
soccer_team	ASR	63
organization	Roma	63
soccer_team	Roma	63
organization	Liverpool	63
location	Stadio Olimpico	63
location	San Siro	63
person	Luca Belingheri	64
soccer_player	Luca Belingheri	64
person	Belingheri	64
location	Alzano	64
location	Siena	64
person	Como Calcio	64
location	Ascoli	64
person	Ascoli	64
location	Genoa	64
city	Genoa	64
person	AlbinoLeffe	64
person	AlbinoLeffe Belingheri	64
organization	Torino	64
person	Marco Moro	64
person	Giuseppe Palma	65
soccer_player	Giuseppe Palma	65
location	Spyris Kaunas	65
location	Napoli	65
city	Napoli	65
person	Davide Zappacosta	66
soccer_player	Davide Zappacosta	66
person	Zappacosta	66
location	Isola Liri	66
location	Berretti	66
location	Isola del Liri	66
location	Sora	66
location	Giovanissimi	66
person	Federico Mattiello	67
soccer_player	Federico Mattiello	67
organization	Chievo	67
person	Alfred N'Diaye	68
soccer_player	Alfred N'Diaye	68
person	Alfred	68
location	US Vandœuvre	68
location	Vandœuvre-lès-Nancy	68
person	Nancy	68
person	N'Diaye	68
person	Frédéric Biancalani	68
organization	Lens	68
organization	Lille	68
person	Villarreal Club de Fútbol	69
location	Castellón	69
organization	Segunda División	69
location	El Madrigal	69
location	Amarillo	69
city	Amarillo	69
person	Villarreal CF	69
person	Cervantes	69
person	Castellón	69
person	Rayo Vallecano de Madrid	70
person	Rayo	70
location	Vallecas	70
person	Deportivo Alavés	70
person	Míchel	70
organization	Getafe Club de Fútbol	71
soccer_team	Getafe Club de Fútbol	71
location	Spanish La Liga	71
person	Alfonso Pérez	71
organization	Royal Emirates Group	71
person	Enrique Condes García	71
person	Aurelio Miranda Olavaria	71
person	Antonio Corridor Lozano	71
person	Manuel Serrano Vergara	71
person	Miguel Cubero Francés	71
person	Club Getafe Deportivo	71
location	Campo	71
location	San Isidro	71
person	Club Getafe	71
organization	CP Villarrobledo	71
location	Segunda	71
person	Almería	71
organization	Club Atlético Osasuna	72
soccer_team	Club Atlético Osasuna	72
organization	Osasuna	72
soccer_team	Osasuna	72
location	Pamplona	72
location	Navarre	72
organization	Estadio Reyno de Navarra	72
organization	UEFA Champions League	72
person	Alpi	73
organization	Juventus Football Club	73
organization	Torino Football Club	73
location	Alps	73
organization	Stadio Olimpico	73
location	Alpi	73
person	Studio Hutter	73
organization	Stadio Comunale	73
person	Stadio Olimpico	73
person	Giacomo Bonaventura	74
soccer_player	Giacomo Bonaventura	74
location	San Severino Marche	74
person	Bonaventura	74
person	Pergocrema	74
organization	Padova	74
person	Edenilson Andrade dos Santos	75
soccer_player	Edenilson Andrade dos Santos	75
organization	Porto Alegre	75
organization	Corinthians	75
person	Edenilson	75
location	Venancio Aires	75
person	Veranópolis	75
organization	FGF	75
person	Salvatore Andrea Molina	76
soccer_player	Salvatore Andrea Molina	76
organization	Lega Pro Prima Divisione U.S. Foggia	76
person	Molina	76
organization	Foggia	76
organization	Nocerina	76
location	Poland	76
country	Poland	76
location	U.S. Foggia	76
person	Alessandro De Leidi	76
person	Emanuele Suagher	77
soccer_player	Emanuele Suagher	77
organization	Lega Pro Prima Divisione S.S. Tritium	77
person	Suagher	77
person	Ternana	77
person	Daniele Casiraghi	77
person	Marcello Possenti	77
person	Jurgen Pandiani	77
person	Christian Monacizzo	77
location	Romania	77
country	Romania	77
location	Turkey	77
country	Turkey	77
location	Macedonia	77
country	Macedonia	77
location	Denmark	77
country	Denmark	77
person	Rubén Daniel Bentancourt Morales	78
soccer_player	Rubén Daniel Bentancourt Morales	78
person	Pierluigi Gollini	79
soccer_player	Pierluigi Gollini	79
person	Jozabed Sánchez Ruiz	80
soccer_player	Jozabed Sánchez Ruiz	80
person	Matteo Cipriani	81
soccer_player	Matteo Cipriani	81
person	Giacomo Ricci	82
soccer_player	Giacomo Ricci	82
person	Federico Cirelli	83
soccer_player	Federico Cirelli	83
person	Luciano Vietto	84
soccer_player	Luciano Vietto	84
location	Balnearia	84
organization	Racing Club de Avellaneda	84
person	Claudio Vivas	84
organization	Estudiantes de La Plata	84
person	Racing Club Avellaneda	84
person	Diego Simeone	84
person	Petar Golubović	85
soccer_player	Petar Golubović	85
organization	Novara	85
organization	A.S. Roma	85
person	Eddy Silvestre Pascual Israfilov	86
soccer_player	Eddy Silvestre Pascual Israfilov	86
person	Eddy	86
soccer_player	Eddy	86
person	Eddy Pascual	86
soccer_player	Eddy Pascual	86
organization	Granada CF	86
person	Andrea Mancini	87
soccer_player	Andrea Mancini	87
person	Felice Mancini	87
person	Felice	87
person	Andrea	87
person	Hélder Manuel Marques Postiga	88
soccer_player	Hélder Manuel Marques Postiga	88
location	Portuguese	88
person	Postiga	88
location	England	88
country	England	88
organization	Tottenham	88
location	Vila	88
city	Vila	88
location	Conde	88
organization	Varzim SC	88
organization	Porto	88
person	Octávio Machado	88
person	Derlei	88
person	Primeira Liga	88
person	Ashley Cole	89
soccer_player	Ashley Cole	89
organization	Chelsea	89
person	Cole	89
location	Stepney	89
location	London	89
city	London	89
person	Chelsea	89
person	Nabil Jaadi	90
soccer_player	Nabil Jaadi	90
organization	Real Club Deportivo Mallorca	91
soccer_team	Real Club Deportivo Mallorca	91
location	Palma	91
location	Majorca	91
location	Mallorca	91
person	Adolfo Vázquez	91
organization	republican	91
person	Junta Directiva del Alfonso XIII	91
location	Buenos Aires	91
organization	Real Sociedad Alfonso	91
person	Club Deportivo Mallorca	91
person	Es Fortí	91
organization	La Liga	91
person	Nicolò Cherubin	92
person	Jasmin Kurtić	93
soccer_player	Jasmin Kurtić	93
location	Palermo	93
city	Palermo	93
person	Kurtić	93
organization	ND Gorica	93
person	Bela Krajina	93
location	Gorica	93
organization	Palermo	93
location	Palermo jersey	93
organization	Fiorentina	93
person	Erik Friberg	94
soccer_player	Erik Friberg	94
location	Lindome	94
person	Friberg	94
organization	KR Reykjavíkur	94
organization	Spartak Moscow	94
organization	Seattle Sounders FC of Major League Soccer	94
organization	Sounders	94
organization	Los Angeles Galaxy	94
organization	Seattle Sounders	94
organization	Malmö FF	94
location	Sweden	94
country	Sweden	94
person	Mathias Ranégie	94
person	Ivo Pękalski	94
person	José Ángel Gómez Campaña	95
soccer_player	José Ángel Gómez Campaña	95
person	Campaña	95
organization	Hannover	95
person	Piotr Trochowski	95
person	Manu	95
person	Liassine Cadamuro-Bentaïba	96
soccer_player	Liassine Cadamuro-Bentaïba	96
location	Algeria	96
country	Algeria	96
person	Cadamuro	96
location	Toulouse	96
city	Toulouse	96
person	Bou Ismaïl	96
organization	FC Sochaux-Montbéliard	96
person	Philippe Montanier	96
person	Xabier Prieto	96
person	Vahid Halilhodžić	96
organization	CA Osasuna	96
person	Bernardo José Espinosa Zúñiga	97
soccer_player	Bernardo José Espinosa Zúñiga	97
location	Cali	97
city	Cali	97
person	Bernardo	97
soccer_player	Bernardo	97
organization	Racing de Santander	97
person	Nicolás Martín Gorobsov	98
soccer_player	Nicolás Martín Gorobsov	98
organization	Politehnica Timişoara	98
person	Gorobsov	98
location	San Pedro	98
organization	Vicenza Primavera	98
location	Cesena	98
person	Politehnica Timişoara	98
person	Simone Scuffet	99
soccer_player	Simone Scuffet	99
person	Navarro Jiménez	100
soccer_player	Navarro Jiménez	100
person	Navarro	100
organization	Deportivo de La Coruña	100
person	João Pedro Geraldino dos Santos Galvão	101
soccer_player	João Pedro Geraldino dos Santos Galvão	101
person	João Pedro	101
soccer_player	João Pedro	101
organization	Peñarol	101
organization	Atlético Mineiro	101
organization	Atlético Paranaense	101
person	Vanderlei Luxemburgo	101
person	Palermo	101
person	Maurizio Zamparini	101
person	Walter Sabatini	101
organization	Sparta Prague	101
person	Josip Iličić	101
person	Samuel Llorca Ripoll	102
soccer_player	Samuel Llorca Ripoll	102
person	Samuel	102
soccer_player	Samuel	102
location	Hércules CF	102
person	Elche CF Ilicitano	102
person	David Vidal	102
location	Elche	102
organization	Sheffield United and Fulham	102
person	Abdoulaye	103
soccer_player	Abdoulaye	103
location	Saint-Louis	103
organization	Académica de Coimbra	103
person	Álvaro González Soberón	104
soccer_player	Álvaro González Soberón	104
location	Santander	104
location	Cantabria	104
person	Álvaro	104
organization	RCD Mallorca	104
person	Mauro Javier dos Santos	105
soccer_player	Mauro Javier dos Santos	105
person	Mauro	105
soccer_player	Mauro	105
organization	UD Almería	105
person	Borja López Menéndez	106
soccer_player	Borja López Menéndez	106
organization	Monaco FC	106
person	Nicolás Federico López Alonso	107
soccer_player	Nicolás Federico López Alonso	107
location	Montevideo	107
city	Montevideo	107
person	López	107
organization	Nacional	107
person	Juan Ramón Carrasco	107
organization	Central Español	107
person	Nacional	107
person	Leonardo Pavoletti	108
soccer_player	Leonardo Pavoletti	108
person	Raúl Alonso Jiménez Rodríguez	109
soccer_player	Raúl Alonso Jiménez Rodríguez	109
organization	Club América	109
location	Primera División de Mexico	109
person	América	109
person	Alfredo Tena	109
organization	Monarcas Morelia	109
organization	Estadio Azteca	109
person	Andrea Bovo	110
soccer_player	Andrea Bovo	110
organization	Calcio Padova	110
person	Mestre	110
location	Venice	110
city	Venice	110
person	Venezia	110
person	Bovo	110
person	A.C. Venezia	110
organization	AC Venezia	110
organization	Bari	110
person	Ivan Rajčić	110
person	Stadio Moretti	111
location	Stadio Friuli	111
location	Salvador	112
country	Salvador	112
person	Sevilla López	112
soccer_player	Sevilla López	112
location	Berja	112
location	Almería	112
person	Sven Gustav Jansson	113
soccer_player	Sven Gustav Jansson	113
location	Arlöv	113
location	Allsvenskan	113
person	Jansson	113
person	Jasmin Sudić	113
person	Rikard Norlings	113
organization	Unione Sportiva Città	114
soccer_team	Unione Sportiva Città	114
organization	Anglo Panormitan Athletic and Football Club	114
person	Matteo Bachini	115
soccer_player	Matteo Bachini	115
person	Simone Benedetti	116
soccer_player	Simone Benedetti	116
person	Benedetti	116
organization	Torino F.C	116
person	Silvano Benedetti	116
organization	Torino FC	116
organization	Responsabile Tecnico Scuola Calcio	116
organization	Internazionale Milano	116
person	Alen Stevanović	116
organization	Inter	116
location	Gubbio	116
person	Fernando José Torres Sanz	117
soccer_player	Fernando José Torres Sanz	117
person	Torres	117
organization	Atlético Madrid	117
organization	Segunda División for Atlético Madrid	117
location	Anfield	117
person	Robbie Fowler	117
organization	Aston Villa	117
organization	Unione Sportiva Lecce	118
soccer_team	Unione Sportiva Lecce	118
location	U.S.	118
country	U.S.	118
organization	U.S.	118
soccer_team	U.S.	118
location	Apulia	118
organization	Lecce	118
organization	Sporting Club Lecce	118
person	Francesco Marangi	118
person	Luigi Lopez	118
organization	Cagliari Calcio	119
soccer_team	Cagliari Calcio	119
location	Cagliari	119
location	Sardinia	119
country	Sardinia	119
person	Gigi Riva	119
organization	Cagliari	119
person	Rossoblu	119
person	Mario Martiradonna	119
person	Pierluigi Cera	119
person	Nené	119
person	Ricciotti Greatti	119
person	Luigi Riva	119
person	Brescia Calcio	120
location	Brescia	120
city	Brescia	120
location	Lombardy	120
organization	Notts County	120
person	Ballon	120
person	Roberto Baggio	120
organization	Brescia	120
organization	Paris Saint-Germain	120
organization	Divisione Nazionale	120
person	Alessandro Rosina	121
soccer_player	Alessandro Rosina	121
location	St. Petersburg	121
person	Belvedere Marittimo	121
person	Rosina	121
location	Milan	121
city	Milan	121
organization	Parma	121
organization	Parma Primavera	121
person	Hidetoshi Nakata	121
person	B. Rosina	121
person	Tommaso Berni	122
soccer_player	Tommaso Berni	122
location	S.C. Braga	122
person	Berni	122
person	Primavera Team	122
person	B. Berni	122
location	Ternana	122
person	Angelo Peruzzi	122
person	Marco Ballotta	122
person	Fernando Muslera	122
person	Juan Pablo Carrizo	122
location	Salernitana	122
person	Salvatore Pinna	122
organization	SC Braga	122
person	Yann M'Vila	123
soccer_player	Yann M'Vila	123
organization	Rennes	123
organization	Ligue	123
person	Yohan M'Vila	123
person	M'Vila	123
location	Picardy	123
organization	Amiens SC	123
person	Stade Rennais	123
organization	Nice	123
person	Frédéric Antonetti	123
person	Iriney Santos da Silva	124
soccer_player	Iriney Santos da Silva	124
location	Humaitá	124
organization	Amazonas	124
person	Iriney	124
person	Associação Desportiva São Caetano	124
person	Celta de Vigo	124
person	Associazione Calcio Siena	125
location	Stadio	125
person	Stadio Franchi	125
location	Florence	125
city	Florence	125
person	A.C. Siena	125
location	Isola d’Arbia	125
organization	Società Sportiva Robur	125
organization	Associazione Calcio Siena	125
organization	Associazione Sportiva Livorno Calcio	126
soccer_team	Associazione Sportiva Livorno Calcio	126
person	Armando Picchi	126
location	U.S. Livorno	126
location	Pisa	126
city	Pisa	126
person	Edda Ciano Mussolini	126
person	Benito Mussolini	126
location	Eccellenza	126
person	Rene Krhin	127
soccer_player	Rene Krhin	127
person	Vid Belec	127
organization	NK Maribor	127
organization	European Union	127
person	Jose Mourinho	127
location	United States	127
person	Wesley Sneijder	127
person	Sulley Muntari	127
organization	Empoli Football Club	128
soccer_team	Empoli Football Club	128
location	European	128
location	Udinese	128
organization	Associazione Sportiva Bari	129
soccer_team	Associazione Sportiva Bari	129
location	Bari	129
city	Bari	129
organization	Liberty Bari	129
organization	US Ideale	129
person	David Platt	129
person	Igor Protti	129
person	Antonio Cassano	129
organization	Associazione Calcio Cesena	130
soccer_team	Associazione Calcio Cesena	130
location	Romagna	130
person	Gianluigi Savoldi	130
location	Calcio Catania	131
location	San Raineri	131
person	Messina	131
organization	Royal Yacht Catania	131
person	Gaetano Ventimiglia	131
person	Francesco Sturzo d'Aldobrando	131
person	Ascoli Calcio	132
person	Ascoli Piceno	132
location	Marche	132
person	A. Ascoli	132
person	Candido Augusto Vecchi	132
organization	Ascoli Vigor	132
location	U.S. Ascolana	132
organization	A.S. Ascoli	132
