http://rdf.freebase.com/ns/m.0b8v23	Estadio El Madrigal is a multi-purpose stadium in Vila-real, Spain, used since 1923
http://rdf.freebase.com/ns/m.0924nc	Stadio Artemio Franchi is a multi-purpose stadium in Siena, Italy
http://rdf.freebase.com/ns/m.0925z0	Stadio Adriatico - Giovanni Cornacchia is a stadium in Pescara, Abruzzo, Italy, which opened in 1955 and designed by Italian architect Luigi Piccinato
http://rdf.freebase.com/ns/m.0bthyr	Stadio Città del Tricolore is a multi-purpose stadium in Reggio Emilia, Italy
http://rdf.freebase.com/ns/m.0923pc	Stadio Cino e Lillo Del Duca is a multi-purpose stadium in Ascoli Piceno, Italy
http://rdf.freebase.com/ns/m.0923xg	Stadio Artemio Franchi is a football stadium in Florence, Italy
http://rdf.freebase.com/ns/m.0924hr	Stadio Comunale Luigi Ferraris, also known as the Marassi from the name of the ward where the Marassi is located, is a multi-use stadium in Genoa, Italy
http://rdf.freebase.com/ns/m.07_p1_	The Estadio Municipal de Balaídos (Spanish pronunciation: [balaˈiðos], $022Balaídos Municipal Stadium$022) is an all-seater football stadium in Vigo, Spain
http://rdf.freebase.com/ns/m.01gxlt	The Estadio Santiago Bernabéu (Spanish pronunciation: [esˈtaðjo sanˈtjaɣo βernaˈβeu]) is an all-seater football stadium in Madrid, Spain
http://rdf.freebase.com/ns/m.07_p92	Estadio Coliseum Alfonso Pérez is a football stadium in Getafe, Spain
http://rdf.freebase.com/ns/m.069nqf	Estadio Mestalla is a football stadium in Valencia, Spain
http://rdf.freebase.com/ns/m.07_ntb	The Estadio Benito Villamarín is a football stadium in Seville, Spain
http://rdf.freebase.com/ns/m.025s6d7	The Stadio Giuseppe Meazza, also known as the San Siro, is a football stadium in Milan, Italy, located at geographical coordinates 
http://rdf.freebase.com/ns/m.0bp908	Estadio El Sadar (between 2005-2011, known as Reyno de Navarra) is a football stadium in Pamplona, Navarre, Spain
http://rdf.freebase.com/ns/m.0b8v65	Estadio José Zorrilla is a football stadium in Valladolid, Spain
http://rdf.freebase.com/ns/m.0cgk3s	Estadio Nuevo Los Cármenes is a multi-use stadium in Granada, Spain
http://rdf.freebase.com/ns/m.0jwsprk	Stadio Comunale $022Is Arenas$022 is a sports stadium in Quartu Sant'Elena, Sardinia, Italy
