PERSON311	plays for 	ORGANIZATION313	47
PERSON316	born in 	LOCATION162	48
PERSON326	born 	LOCATION125	49
PERSON326	born in 	LOCATION126	49
LOCATION125	in 	LOCATION126	49
PERSON326		LOCATION100	49
PERSON326	plays for 	ORGANIZATION327	49
LOCATION100	plays for 	ORGANIZATION327	49
PERSON328	plays for 	LOCATION60	50
PERSON330	plays for 	PERSON302	52
PERSON333	plays for 	ORGANIZATION263	55
PERSON341		LOCATION100	58
PERSON341	plays for 	ORGANIZATION28	58
LOCATION100	plays for 	ORGANIZATION28	58
LOCATION172	of 	LOCATION343	60
ORGANIZATION360		LOCATION100	62
ORGANIZATION360		LOCATION361	62
ORGANIZATION360	in 	LOCATION126	62
LOCATION100		LOCATION361	62
LOCATION100	in 	LOCATION126	62
LOCATION361	in 	LOCATION126	62
ORGANIZATION372		ORGANIZATION373	63
ORGANIZATION372	referred to 	ORGANIZATION374	63
ORGANIZATION372	in 	LOCATION301	63
ORGANIZATION374	referred in 	LOCATION301	63
PERSON378	plays for 	LOCATION104	64
PERSON390	plays for 	LOCATION391	65
PERSON390	plays from 	LOCATION392	65
LOCATION391	plays from 	LOCATION392	65
PERSON393	plays for 	LOCATION166	66
PERSON400	plays for 	ORGANIZATION401	67
PERSON400	plays from 	ORGANIZATION288	67
ORGANIZATION401	plays from 	ORGANIZATION288	67
PERSON402	born in 	LOCATION9	68
PERSON419	abbreviated to 	PERSON420	70
PERSON419		LOCATION100	70
PERSON419	in 	LOCATION229	70
PERSON419	of 	LOCATION421	70
PERSON420	abbreviated 	LOCATION100	70
PERSON420	abbreviated in 	LOCATION229	70
PERSON420	abbreviated of 	LOCATION421	70
LOCATION100	in 	LOCATION229	70
LOCATION100	of 	LOCATION421	70
LOCATION229	of 	LOCATION421	70
ORGANIZATION424		LOCATION425	71
ORGANIZATION424	based 	LOCATION29	71
ORGANIZATION424	LOCATION29 	LOCATION229	71
LOCATION425	based 	LOCATION29	71
LOCATION425	LOCATION29 	LOCATION229	71
LOCATION29		LOCATION229	71
ORGANIZATION440	known 	ORGANIZATION441	72
ORGANIZATION440	known 	LOCATION100	72
ORGANIZATION440	known in 	LOCATION442	72
ORGANIZATION440	known of 	LOCATION443	72
ORGANIZATION441		LOCATION100	72
ORGANIZATION441	in 	LOCATION442	72
ORGANIZATION441	of 	LOCATION443	72
LOCATION100	in 	LOCATION442	72
LOCATION100	of 	LOCATION443	72
LOCATION442	of 	LOCATION443	72
PERSON446	LOCATION42 	LOCATION89	73
PERSON446		LOCATION42	73
PERSON446		ORGANIZATION447	73
PERSON446	of 	ORGANIZATION448	73
LOCATION89		LOCATION42	73
LOCATION89	LOCATION42 	ORGANIZATION447	73
LOCATION89	LOCATION42 of 	ORGANIZATION448	73
LOCATION42		ORGANIZATION447	73
LOCATION42	of 	ORGANIZATION448	73
ORGANIZATION447	of 	ORGANIZATION448	73
PERSON455	born in 	LOCATION456	74
PERSON487	plays 	ORGANIZATION48	78
PERSON489	known 	LOCATION100	80
LOCATION100	plays for 	PERSON130	80
PERSON493	born in 	LOCATION494	84
PERSON493	plays for 	ORGANIZATION495	84
PERSON500	plays for 	ORGANIZATION501	85
