PERSON216	Kakha Kaladze
PERSON217	Simone Aresti
PERSON218	Savona
PERSON219	Aresti
ORGANIZATION220	Estadio Mestalla
LOCATION221	Valencia
LOCATION222	Spain
ORGANIZATION223	Valencia Club de Fútbol
LOCATION224	Europe
ORGANIZATION225	Levante UD
LOCATION226	Primera División
LOCATION227	Mestalla
PERSON228	Óscar Díaz González
LOCATION229	Madrid
ORGANIZATION230	Girona FC
PERSON231	Francisco Ochoa
PERSON232	Alfreð Finnbogason
ORGANIZATION233	Helsingborgs IF
ORGANIZATION234	KSC Lokeren
LOCATION235	Faroe Islands
PERSON236	Alfreð
ORGANIZATION237	Celtic F.C.
ORGANIZATION238	Rangers F.C.
ORGANIZATION239	Reading F.C.
ORGANIZATION240	Southampton
LOCATION241	Swansea City F.C
LOCATION242	Reykjavík
LOCATION243	Edinburgh
PERSON244	Hutchison Vale
LOCATION245	Hibernian
PERSON246	Breiðablik
LOCATION247	Breiðablik
ORGANIZATION248	Blackpool
PERSON249	Josef Alexander Martínez
LOCATION250	Caracas
ORGANIZATION251	BSC Young Boys
PERSON252	Martinez
ORGANIZATION253	Estudiantes de Merida
ORGANIZATION254	Deportivo Petare
ORGANIZATION255	El Salvador
PERSON256	Antonino Ragusa
LOCATION257	Messina
LOCATION258	Sicily
PERSON259	Ragusa
LOCATION260	Veneto
LOCATION261	Treviso
LOCATION262	Rimini
ORGANIZATION263	Genoa
PERSON264	Thomas Bonotto
PERSON265	Marco Bincoletto
ORGANIZATION266	Salernitana
LOCATION267	Verona
PERSON268	Dino Fava
PERSON269	Fabinho
PERSON270	Francesco Acerbi
PERSON271	Lorenzo Remedi
PERSON272	Remedi
PERSON273	Javier Ignacio Aquino Carmona
LOCATION274	San Francisco Ixhuatán
LOCATION275	Oaxaca
ORGANIZATION276	Cruz Azul
LOCATION277	Cruz Azul
LOCATION278	Copa America
PERSON279	Cruz Azul
LOCATION280	Lagunas
LOCATION281	Cruz Azul Lagunas
LOCATION282	Mexico City
ORGANIZATION283	Cruz Azul Reserves
ORGANIZATION284	Primera División
PERSON285	Aquino
PERSON286	Leonardo Spinazzola
ORGANIZATION287	Vicenza
ORGANIZATION288	Juventus
PERSON289	Hörður Björgvin Magnússon
LOCATION290	Reykjavik
PERSON291	Hörður
PERSON292	Hlynur Atli Magnússon
LOCATION293	Fram Reykjavik
LOCATION294	Iceland
PERSON295	Fram
LOCATION296	Norway
ORGANIZATION297	Sunderland
LOCATION298	Lyon
ORGANIZATION299	AZ Alkmaar
PERSON300	Fabrizio Grillo
LOCATION301	Rome
PERSON302	Varese
PERSON303	Emiliano Daniel Velázquez Maldonado
PERSON304	Leandro Paredes
PERSON305	Daniel 'Dani
PERSON306	Nieto Vela
LOCATION307	Palma Nova
LOCATION308	Calvià
LOCATION309	Balearic Islands
PERSON310	Grega Sorcan
PERSON311	Pedro Pablo Hernández
LOCATION312	Tucumán
ORGANIZATION313	Argentinos Juniors
ORGANIZATION314	D.C. United
PERSON315	Hernández
PERSON316	Franco Zuculini
PERSON317	Zuculini
ORGANIZATION318	Belgrano de Cordoba
ORGANIZATION319	Racing Club
PERSON320	Hoffenheim
LOCATION321	Zuculini
LOCATION322	Venezuela
PERSON323	Diego Maradona
ORGANIZATION324	Argentina National Team
LOCATION325	Panama
PERSON326	Alejandro Pozuelo Melero
ORGANIZATION327	Real Betis
PERSON328	Ettore Gliozzi
PERSON329	Samuele Massolo
PERSON330	Raffaele Pucino
PERSON331	Adam Masina
PERSON332	Matteo Malagoli
PERSON333	Masahudu Alhassan
PERSON334	Alhassan
ORGANIZATION335	Prampram Mighty Royals
LOCATION336	Ghana
LOCATION337	Sierra Leone
LOCATION338	Gabon
PERSON339	Edoardo Tognazzi
PERSON340	Manuel Gullotta
PERSON341	Óscar Alexandre Whalley Guardado
PERSON342	Lorenzo Filippini
LOCATION343	Reggio Calabria
PERSON344	Oreste Granillo
ORGANIZATION345	Unione Sportiva Reggio Calabria
ORGANIZATION346	Società Calcistica Reggio
ORGANIZATION347	Reggio Foot Ball Club
ORGANIZATION348	Associazione Sportiva Reggina
ORGANIZATION349	Società Sportiva La Dominante
PERSON350	Verona
LOCATION351	Estadio
PERSON352	Estadio Villamarín
PERSON353	Spain Carlos
PERSON354	Prince Felipe de Borbon
ORGANIZATION355	Betis
LOCATION356	Baetis
LOCATION357	Guadalquivir
PERSON358	Alfonso
ORGANIZATION359	Sevilla Football Club
ORGANIZATION360	Málaga Club de Fútbol
LOCATION361	Málaga
PERSON362	Atlético Malagueño
LOCATION363	Segunda División
ORGANIZATION364	Tercera División
ORGANIZATION365	Málaga CF
ORGANIZATION366	Segunda División B
LOCATION367	Tercera División
PERSON368	Lorenzo Sanz
ORGANIZATION369	Real Madrid
PERSON370	Fernando Sanz
PERSON371	Abdullah bin Nasser bin Abdullah Al Ahmed Al Thani
ORGANIZATION372	Associazione Sportiva Roma
ORGANIZATION373	ASR
ORGANIZATION374	Roma
ORGANIZATION375	Liverpool
LOCATION376	Stadio Olimpico
LOCATION377	San Siro
PERSON378	Luca Belingheri
PERSON379	Belingheri
LOCATION380	Alzano
LOCATION381	Siena
PERSON382	Como Calcio
LOCATION383	Ascoli
PERSON384	Ascoli
LOCATION385	Genoa
PERSON386	AlbinoLeffe
PERSON387	AlbinoLeffe Belingheri
ORGANIZATION388	Torino
PERSON389	Marco Moro
PERSON390	Giuseppe Palma
LOCATION391	Spyris Kaunas
LOCATION392	Napoli
PERSON393	Davide Zappacosta
PERSON394	Zappacosta
LOCATION395	Isola Liri
LOCATION396	Berretti
LOCATION397	Isola del Liri
LOCATION398	Sora
LOCATION399	Giovanissimi
PERSON400	Federico Mattiello
ORGANIZATION401	Chievo
PERSON402	Alfred N'Diaye
PERSON403	Alfred
LOCATION404	US Vandœuvre
LOCATION405	Vandœuvre-lès-Nancy
PERSON406	Nancy
PERSON407	N'Diaye
PERSON408	Frédéric Biancalani
ORGANIZATION409	Lens
ORGANIZATION410	Lille
PERSON411	Villarreal Club de Fútbol
LOCATION412	Castellón
ORGANIZATION413	Segunda División
LOCATION414	El Madrigal
LOCATION415	Amarillo
PERSON416	Villarreal CF
PERSON417	Cervantes
PERSON418	Castellón
PERSON419	Rayo Vallecano de Madrid
PERSON420	Rayo
LOCATION421	Vallecas
PERSON422	Deportivo Alavés
PERSON423	Míchel
ORGANIZATION424	Getafe Club de Fútbol
LOCATION425	Spanish La Liga
PERSON426	Alfonso Pérez
ORGANIZATION427	Royal Emirates Group
PERSON428	Enrique Condes García
PERSON429	Aurelio Miranda Olavaria
PERSON430	Antonio Corridor Lozano
PERSON431	Manuel Serrano Vergara
PERSON432	Miguel Cubero Francés
PERSON433	Club Getafe Deportivo
LOCATION434	Campo
LOCATION435	San Isidro
PERSON436	Club Getafe
ORGANIZATION437	CP Villarrobledo
LOCATION438	Segunda
PERSON439	Almería
ORGANIZATION440	Club Atlético Osasuna
ORGANIZATION441	Osasuna
LOCATION442	Pamplona
LOCATION443	Navarre
ORGANIZATION444	Estadio Reyno de Navarra
ORGANIZATION445	UEFA Champions League
PERSON446	Alpi
ORGANIZATION447	Juventus Football Club
ORGANIZATION448	Torino Football Club
LOCATION449	Alps
ORGANIZATION450	Stadio Olimpico
LOCATION451	Alpi
PERSON452	Studio Hutter
ORGANIZATION453	Stadio Comunale
PERSON454	Stadio Olimpico
PERSON455	Giacomo Bonaventura
LOCATION456	San Severino Marche
PERSON457	Bonaventura
PERSON458	Pergocrema
ORGANIZATION459	Padova
PERSON460	Edenilson Andrade dos Santos
ORGANIZATION461	Porto Alegre
ORGANIZATION462	Corinthians
PERSON463	Edenilson
LOCATION464	Venancio Aires
PERSON465	Veranópolis
ORGANIZATION466	FGF
PERSON467	Salvatore Andrea Molina
ORGANIZATION468	Lega Pro Prima Divisione U.S. Foggia
PERSON469	Molina
ORGANIZATION470	Foggia
ORGANIZATION471	Nocerina
LOCATION472	Poland
LOCATION473	U.S. Foggia
PERSON474	Alessandro De Leidi
PERSON475	Emanuele Suagher
ORGANIZATION476	Lega Pro Prima Divisione S.S. Tritium
PERSON477	Suagher
PERSON478	Ternana
PERSON479	Daniele Casiraghi
PERSON480	Marcello Possenti
PERSON481	Jurgen Pandiani
PERSON482	Christian Monacizzo
LOCATION483	Romania
LOCATION484	Turkey
LOCATION485	Macedonia
LOCATION486	Denmark
PERSON487	Rubén Daniel Bentancourt Morales
PERSON488	Pierluigi Gollini
PERSON489	Jozabed Sánchez Ruiz
PERSON490	Matteo Cipriani
PERSON491	Giacomo Ricci
PERSON492	Federico Cirelli
PERSON493	Luciano Vietto
LOCATION494	Balnearia
ORGANIZATION495	Racing Club de Avellaneda
PERSON496	Claudio Vivas
ORGANIZATION497	Estudiantes de La Plata
PERSON498	Racing Club Avellaneda
PERSON499	Diego Simeone
PERSON500	Petar Golubović
ORGANIZATION501	Novara
ORGANIZATION502	A.S. Roma
PERSON503	Eddy Silvestre Pascual Israfilov
PERSON504	Eddy
PERSON505	Eddy Pascual
ORGANIZATION506	Granada CF
PERSON507	Andrea Mancini
PERSON508	Felice Mancini
PERSON509	Felice
PERSON510	Andrea
PERSON511	Hélder Manuel Marques Postiga
LOCATION512	Portuguese
PERSON513	Postiga
LOCATION514	England
ORGANIZATION515	Tottenham
LOCATION516	Vila
LOCATION517	Conde
ORGANIZATION518	Varzim SC
ORGANIZATION519	Porto
PERSON520	Octávio Machado
PERSON521	Derlei
PERSON522	Primeira Liga
PERSON523	Ashley Cole
ORGANIZATION524	Chelsea
PERSON525	Cole
LOCATION526	Stepney
LOCATION527	London
PERSON528	Chelsea
PERSON529	Nabil Jaadi
ORGANIZATION530	Real Club Deportivo Mallorca
LOCATION531	Palma
LOCATION532	Majorca
LOCATION533	Mallorca
PERSON534	Adolfo Vázquez
ORGANIZATION535	republican
PERSON536	Junta Directiva del Alfonso XIII
LOCATION537	Buenos Aires
ORGANIZATION538	Real Sociedad Alfonso
PERSON539	Club Deportivo Mallorca
PERSON540	Es Fortí
ORGANIZATION541	La Liga
PERSON542	Nicolò Cherubin
PERSON543	Jasmin Kurtić
LOCATION544	Palermo
PERSON545	Kurtić
ORGANIZATION546	ND Gorica
PERSON547	Bela Krajina
LOCATION548	Gorica
ORGANIZATION549	Palermo
LOCATION550	Palermo jersey
ORGANIZATION551	Fiorentina
PERSON552	Erik Friberg
LOCATION553	Lindome
PERSON554	Friberg
ORGANIZATION555	KR Reykjavíkur
ORGANIZATION556	Spartak Moscow
ORGANIZATION557	Seattle Sounders FC of Major League Soccer
ORGANIZATION558	Sounders
ORGANIZATION559	Los Angeles Galaxy
ORGANIZATION560	Seattle Sounders
ORGANIZATION561	Malmö FF
LOCATION562	Sweden
PERSON563	Mathias Ranégie
PERSON564	Ivo Pękalski
PERSON565	José Ángel Gómez Campaña
PERSON566	Campaña
ORGANIZATION567	Hannover
